State,Party,Democratic,Republican,Other,Politician,Lawyer,OtherOccupation,SenatorName,No of opponents,Votes,% Votes,Wiki?,Google?,Newapi?,DOB,Education1,Education2,Occupation1,Occupation2, #Orgs,OrgsOfInfluence?,#Events,EventsOfImportance?,WikiCareerSuccessScore,WikiGeneric,#Articles,ArticleInfluenceScore,#PostiveArticles,#NegativeArticles,#NeutralArticles
California,Democratic,1,0,0,1,1,0,Kamala Harris,37,3000689,0.399435621,1,1,1,1964,Howard University,"University of California, Hastings College of the Law",Politician,Lawyer,3,,2,,,,20,,,,
California,Democratic,1,0,0,1,0,0,Loretta Sanchez,37,1416203,0.188517345,1,1,1,1960,Chapman University,American University,Politician,Financial Analyst,3,,3,,,,6,,,,
California,Republican,0,1,0,1,0,0,Duf Sundheim,37,584251,0.077772359,1,0,0,1952,Stanford University,Northwestern University School of Law,Politician,,0,,0,,,,0,,,,
California,Republican,0,1,0,1,0,0,Phil Wyman,37,352821,0.046965639,1,1,1,1945,"University of california, Davis",,Politician,,0,,3,,,,5,,,,
California,Republican,0,1,0,1,0,0,Tom Del Beccaro,37,323614,0.043077759,1,1,0,1961,"University of California, Berkeley",Santa Clara University,Politician,,0,,3,,,,0,,,,
California,Republican,0,1,0,0,0,1,Greg Conlon,37,230944,0.030742026,0,1,1,,,,,,0,,1,,,,3,,,,
California,Democratic,1,0,0,0,0,1,Steve Stokes,37,168805,0.022470416,0,1,1,,,,,,0,,3,,,,20,,,,
California,Republican,0,1,0,0,0,1,George C.Yang,37,112055,0.01491616,0,0,0,,,,,,0,,0,,,,0,,,,
California,Republican,0,1,0,0,0,1,Karen Roseberry,37,110557,0.014716755,0,0,0,,,,,,0,,0,,,,0,,,,
California,Libertarian,0,0,1,0,0,1,Gail K.Lightfoot,37,99761,0.013279649,0,0,0,,,,,,0,,0,,,,0,,,,
California,Democratic,1,0,0,0,0,1,Massie Munroe,37,98150,0.013065201,0,0,0,,,,,,0,,0,,,,0,,,,
California,Other,0,0,1,0,0,1,Pamela Elizondo,37,95677,0.012736009,0,1,0,,,,,,0,,1,,,,0,,,,
California,Republican,0,1,0,0,0,1,Tom Palzer,37,93263,0.01241467,0,0,1,,,,,,0,,0,,,,1,,,,
California,Republican,0,1,0,0,0,1,Ron Unz,37,92325,0.012289809,1,1,1,1961,,,,,3,,3,,,,9,,,,
California,Republican,0,1,0,0,0,1,Don Krampe,37,69635,0.009269438,0,0,0,,,,,,0,,0,,,,0,,,,
California,Other,0,0,1,0,0,1,Eleanor GarcÌ_a,37,65084,0.008663633,0,0,1,,,,,,0,,0,,,,5,,,,
California,Republican,0,1,0,0,0,1,Jarrell Williamson,37,64120,0.00853531,0,1,0,,,,,,0,,2,,,,0,,,,
California,Republican,0,1,0,0,0,1,Von Hougo,37,63609,0.008467289,0,0,0,,,,,,0,,0,,,,0,,,,
California,Democratic,1,0,0,0,0,1,President Cristina Grappo,37,63330,0.00843015,0,0,0,,,,,,0,,0,,,,0,,,,
California,Republican,0,1,0,0,0,1,Jerry J.Laws,37,53023,0.007058137,0,0,0,,,,,,0,,0,,,,0,,,,
California,Libertarian,0,0,1,0,0,0,Mark Matthew Herd,37,41344,0.005503491,1,1,1,1963,,,,,0,,3,,,,12,,,,
California,Other,0,0,1,0,0,1,John Thompson Parker,37,35998,0.004791861,0,0,1,,,,,,0,,0,,,,20,,,,
California,Other,0,0,1,0,0,1,Ling Ling Shi,37,35196,0.004685103,0,1,1,,,,,,1,,2,,,,15,,,,
California,Democratic,1,0,0,0,0,1,Herbert G.Peters,37,32638,0.004344595,0,0,0,,,,,,0,,0,,,,0,,,,
California,Democratic,1,0,0,0,0,1,Emory Peretz Rodgers,37,31485,0.004191114,0,0,0,,,,,,0,,0,,,,0,,,,
California,Other,0,0,1,0,0,1,Mike Beitiks,37,31450,0.004186455,0,0,0,,,,,,0,,0,,,,0,,,,
California,Other,0,0,1,0,0,1,Clive Grey,37,29418,0.003915966,0,0,1,,,,,,0,,0,,,,20,,,,
California,Other,0,0,1,0,0,1,Jason Hanania,37,27715,0.003689272,0,0,0,,,,,,0,,0,,,,0,,,,
California,Other,0,0,1,0,0,1,Paul Merritt,37,24031,0.003198878,0,1,1,,,,,,0,,1,,,,20,,,,
California,Other,0,0,1,0,0,1,Jason Kraus,37,19318,0.002571509,0,0,1,,,,,,0,,0,,,,18,,,,
California,Other,0,0,1,0,0,1,Don J.Grundmann,37,15317,0.002038917,0,0,0,,,,,,0,,0,,,,0,,,,
California,Other,0,0,1,0,0,1,Scott A.Vineberg,37,11843,0.001576477,0,0,0,,,,,,0,,0,,,,0,,,,
California,Other,0,0,1,0,0,1,Tim Gildersleeve,37,9798,0.001304257,0,0,0,,,,,,0,,0,,,,0,,,,
California,Other,0,0,1,0,0,1,Gar Myers,37,8726,0.001161558,0,0,1,,,,,,0,,0,,,,7,,,,
California,Other,0,0,1,0,0,1,Billy Falling,37,87,1.16E-05,0,0,1,,,,,,0,,0,,,,20,,,,
California,Other,0,0,1,0,0,1,Ric M.Llewellyn,37,32,4.26E-06,0,0,0,,,,,,0,,0,,,,0,,,,
California,Other,0,0,1,0,0,1,Alexis Stuart,37,10,1.33E-06,0,1,1,,,,,,0,,2,,,,20,,,,
Alabama,Republican,0,1,0,1,1,0,Richard Shelby,7,505586,0.486538504,1,1,1,1934,,,,,3,,3,,,,20,,,,
Alabama,Republican,0,1,0,0,0,1,Jonathan McConnell,7,214770,0.206678734,0,0,1,,,,,,0,,0,,,,20,,,,
Alabama,Republican,0,1,0,0,0,0,John Martin,7,23558,0.022670474,1,1,1,,,,,,3,,1,,,,20,,,,
Alabama,Republican,0,1,0,0,0,1,Marcus Bowman,7,19707,0.018964557,0,0,1,,,,,,0,,0,,,,20,,,,
Alabama,Republican,0,1,0,0,0,1,Shadrack McGill,7,15230,0.014656224,0,1,0,,,,,,0,,1,,,,0,,,,
Alabama,Democratic,1,0,0,0,0,1,Ron Crumpton,7,145681,0.1401926,0,1,0,,,,,,0,,2,,,,0,,,,
Alabama,Democratic,1,0,0,0,0,1,Charles Nana,7,114617,0.110298908,0,1,1,,,,,,0,,2,,,,20,,,,
Alaska,Republican,0,1,0,1,1,0,Lisa Murkowski,7,39545,0.461365254,1,1,1,1957,,,,,3,,3,,,,20,,,,
Alaska,Republican,0,1,0,0,0,1,Bob Lochner,7,8480,0.098934817,0,0,1,,,,,,0,,0,,,,1,,,,
Alaska,Republican,0,1,0,0,0,1,Paul Kendall,7,4272,0.049840748,1,1,1,1954,,,,,3,,3,,,,20,,,,
Alaska,Republican,0,1,0,0,0,0,Thomas Lamb,7,2996,0.034953858,1,1,1,,,,,,3,,1,,,,20,,,,
Alaska,Democratic,1,0,0,1,0,0,Ray Metcalfe,7,15228,0.177662665,1,1,1,1950,,,,,0,,3,,,,5,,,,
Alaska,Democratic,1,0,0,0,0,1,Edgar Blatchford,7,10090,0.117718432,1,1,0,1952,,,,,1,,2,,,,0,,,,
Alaska,Libertarian,0,0,1,0,0,1,Cean Stevens,7,5102,0.059524226,0,0,0,,,,,,0,,0,,,,0,,,,
Arizona,Republican,0,1,0,1,0,0,John McCain,9,302532,0.326374295,1,1,1,1936,,,,,3,,2,,,,20,,,,
Arizona,Republican,0,1,0,1,0,0,Kelli Ward,9,235988,0.254586018,1,1,1,1969,,,,,0,,3,,,,20,,,,
Arizona,Republican,0,1,0,0,0,1,Alex Meluskey,9,31159,0.033614615,0,0,0,,,,,,0,,0,,,,0,,,,
Arizona,Republican,0,1,0,0,0,1,Clair Van Steenwyk,9,21476,0.023168506,0,0,0,,,,,,0,,0,,,,0,,,,
Arizona,Republican,0,1,0,0,0,1,Sean Webster,9,175,0.000188792,0,1,1,,,,,,0,,1,,,,20,,,,
Arizona,Democratic,1,0,0,1,1,0,Ann Kirkpatrick,9,333586,0.359875635,1,1,1,1950,,,,,2,,3,,,,20,,,,
Arizona,Democratic,1,0,0,0,0,1,Alex Bello,9,508,0.000548035,0,1,1,,,,,,1,,3,,,,20,,,,
Arizona,Other,0,0,1,0,0,1,Gary Swing,9,238,0.000256757,0,1,1,,,,,,0,,2,,,,20,,,,
Arizona,Libertarian,0,0,1,0,0,1,Merissa Hamilton,9,1286,0.001387349,0,0,0,,,,,,0,,0,,,,0,,,,
Arkansas,Republican,0,1,0,1,0,0,John Boozman,3,298039,0.493391407,1,1,1,1950,,,,,3,,3,,,,19,,,,
Arkansas,Republican,0,1,0,0,0,1,Curtis Coleman,3,91795,0.151962878,0,1,1,,,,,,1,,0,,,,20,,,,
Arkansas,Democratic,1,0,0,0,1,0,Conner Eldridge,3,214228,0.354645715,1,1,1,1977,,,,,0,,3,,,,1,,,,
Colorado,Democratic,1,0,0,0,0,1,Michael Bennet (Incumbent) ,6,262344,0.430202602,0,0,0,,,,,,0,,0,,,,0,,,,
Colorado,Republican,0,1,0,1,0,0,Darryl Glenn,6,131125,0.215024229,1,1,1,1965,,,,,1,,2,,,,9,,,,
Colorado,Republican,0,1,0,0,0,0,Jack Graham,6,85400,0.140042472,1,1,1,,,,,,2,,1,,,,20,,,,
Colorado,Republican,0,1,0,0,0,1,Robert Blaha,6,57196,0.09379238,0,1,1,,,,,,0,,2,,,,2,,,,
Colorado,Republican,0,1,0,0,1,0,Jon Keyser,6,43509,0.071347868,1,1,1,,,,,,0,,2,,,,10,,,,
Colorado,Republican,0,1,0,0,0,1,Ryan Frazier,6,30241,0.04959045,1,1,1,1977,,,,,1,,3,,,,20,,,,
Connecticut,Other,0,0,1,1,1,0,Richard Blumenthal,6,1008714,0.631917037,1,1,1,1946,,,,,2,,3,,,,20,,,,
Connecticut,Republican,0,1,0,0,0,1,Dan Carter,6,552621,0.346193891,1,1,1,1982,,,,,3,,3,,,,20,,,,
Connecticut,Libertarian,0,0,1,0,0,1,Richard Lion,6,18190,0.011395272,0,1,1,,,,,,0,,1,,,,20,,,,
Connecticut,Other,0,0,1,0,0,1,Jeffery Russell,6,16713,0.010469994,0,1,1,,,,,,1,,1,,,,20,,,,
Connecticut,Other,0,0,1,0,0,1,Andrew Rule,6,26,1.63E-05,1,1,1,,,,,,0,,3,,,,20,,,,
Connecticut,Other,0,0,1,0,0,1,John M. Traceski ,6,12,7.52E-06,0,0,0,,,,,,0,,0,,,,0,,,,
Florida,Republican,0,1,0,1,1,0,Marco Rubio,9,1029830,0.402234449,1,1,1,1971,,,,,2,,0,,,,20,,,,
Florida,Republican,0,1,0,0,0,1,Carlos Beruff,9,264427,0.103280783,1,1,0,1958,,,,,0,,3,,,,0,,,,
Florida,Republican,0,1,0,0,0,1,Dwight Young,9,91082,0.035575112,0,1,1,,,,,,1,,3,,,,20,,,,
Florida,Republican,0,1,0,0,0,1,Ernie Rivera,9,45153,0.01763601,1,0,1,1985,,,,,0,,0,,,,3,,,,
Florida,Democratic,1,0,0,0,0,0,Patrick Murphy,9,665985,0.260122651,1,1,1,,,,,,3,,0,,,,20,,,,
Florida,Democratic,1,0,0,1,1,0,Alan Grayson,9,199929,0.078088938,1,1,1,1958,,,,,0,,3,,,,20,,,,
Florida,Democratic,1,0,0,0,0,1,Pam Keith,9,173919,0.067929865,0,1,1,,,,,,0,,2,,,,20,,,,
Florida,Democratic,1,0,0,1,0,0,Rocky De La Fuente ,9,60810,0.023751373,1,1,1,1954,,,,,1,,3,,,,19,,,,
Florida,Democratic,1,0,0,0,0,1,Reginald Luster,9,29138,0.011380818,0,0,0,,,,,,0,,0,,,,0,,,,
Georgia,Republican,0,1,0,1,0,0,Johnny Isakson,6,447661,0.504285732,1,1,1,1944,,,,,2,,3,,,,20,,,,
Georgia,Republican,0,1,0,0,0,1,Derrick Grayson,6,69101,0.0778416,0,1,1,,,,,,0,,2,,,,20,,,,
Georgia,Republican,0,1,0,0,0,0,Mary Kay,6,60898,0.068601001,1,1,1,,,,,,3,,0,,,,20,,,,
Georgia,Democratic,1,0,0,0,0,0,Jim F. Barksdale,6,166627,0.187703684,1,1,1,1953,,,,,3,,3,,,,17,,,,
Georgia,Democratic,1,0,0,0,0,1,Cheryl Copeland,6,130822,0.147369702,0,0,1,,,,,,0,,0,,,,2,,,,
Georgia,Democratic,1,0,0,0,0,0,John Coyne,6,12604,0.014198283,1,1,1,,,,,,3,,2,,,,20,,,,
Hawaii,Democratic,1,0,0,1,0,0,Brian Schatz,7,162891,0.860168664,1,1,1,1972,,,,,2,,3,,,,20,,,,
Hawaii,Democratic,1,0,0,0,0,0,Makani Christensen,7,11898,0.06282905,1,1,0,,,,,,0,,1,,,,0,,,,
Hawaii,Democratic,1,0,0,0,0,1,Miles Shiratori,7,8620,0.045519113,0,0,1,,,,,,0,,0,,,,1,,,,
Hawaii,Democratic,1,0,0,0,0,1,Arturo Reyes,7,3819,0.020166763,0,1,1,,,,,,3,,2,,,,20,,,,
Hawaii,Democratic,1,0,0,0,0,1,Tutz Honeychurch,7,1815,0.009584361,0,0,0,,,,,,0,,0,,,,0,,,,
Hawaii,Other,0,0,1,0,0,1,Joy Allison,7,217,0.001145899,0,1,1,,,,,,0,,1,,,,20,,,,
Hawaii,Independent,0,0,1,0,0,1,John Giuffre,7,111,0.000586151,0,0,1,,,,,,0,,0,,,,1,,,,
Idaho,Republican,0,1,0,1,1,0,Mike Crapo,3,119633,0.818087325,1,1,1,1951,,,,,3,,3,,,,20,,,,
Idaho,Democratic,1,0,0,0,0,0,Jerry Sturgill,3,26471,0.181016856,1,1,1,,,,,,0,,2,,,,2,,,,
Idaho,Other,0,0,1,0,0,1,Ray J. Writz ,3,131,0.000895818,0,1,0,,,,,,0,,1,,,,0,,,,
Illinois,Republican,0,1,0,1,0,0,Mark Kirk,5,931619,0.289742618,1,1,1,1959,,,,,3,,2,,,,20,,,,
Illinois,Republican,0,1,0,0,0,1,James T. Marter,5,388571,0.12084938,0,0,0,,,,,,0,,0,,,,0,,,,
Illinois,Democratic,1,0,0,1,0,0,Tammy Duckworth,5,1220128,0.379471737,1,1,1,1968,,,,,3,,2,,,,20,,,,
Illinois,Democratic,1,0,0,0,0,1,Andrea Zopp,5,455729,0.141736175,0,1,1,,,,,,0,,2,,,,1,,,,
Illinois,Democratic,1,0,0,1,0,0,Napoleon Harris,5,219286,0.06820009,1,1,1,1979,,,,,2,,3,,,,5,,,,
Indiana,Republican,0,1,0,1,1,0,Todd Young ,3,661136,0.440244302,1,1,1,1972,,,,,2,,2,,,,20,,,,
Indiana,Republican,0,1,0,1,0,0,Marlin Stutzman ,3,324429,0.216034248,1,1,0,1976,,,,,1,,3,,,,0,,,,
Indiana,Democratic,1,0,0,0,0,0,Baron Hill ,3,516183,0.34372145,1,1,1,,,,,,3,,3,,,,20,,,,
Iowa,Republican,0,1,0,1,0,0,Chuck Grassley,5,90089,0.481218952,1,1,1,1933,,,,,3,,3,,,,20,,,,
Iowa,Democratic,1,0,0,0,0,1,Patty Judge,5,46322,0.247433364,1,1,1,1943,,,,,0,,3,,,,20,,,,
Iowa,Democratic,1,0,0,0,1,0,Rob Hogg,5,37801,0.201917633,1,1,1,1967,,,,,2,,3,,,,11,,,,
Iowa,Democratic,1,0,0,0,1,0,Tom Fiegen,5,6573,0.035110304,1,1,0,1958,,,,,0,,3,,,,0,,,,
Iowa,Democratic,1,0,0,0,0,0,Bob Krause,5,6425,0.034319748,1,1,1,,,,,,2,,3,,,,20,,,,
Kansas,Republican,0,1,0,1,1,0,Jerry Moran,4,230907,0.597389057,1,1,1,1954,,,,,2,,3,,,,20,,,,
Kansas,Republican,0,1,0,0,0,1,D.J. Smith,4,61056,0.157960505,0,1,1,,,,,,0,,2,,,,20,,,,
Kansas,Democratic,1,0,0,0,0,1,Patrick Wiesner,4,59522,0.15399183,0,1,1,,,,,,0,,2,,,,1,,,,
Kansas,Democratic,1,0,0,0,0,1,Monique Singh-Bey,4,35042,0.090658609,0,0,0,,,,,,0,,0,,,,0,,,,
Kentucky,Republican,0,1,0,1,0,0,Rand Paul,10,169180,0.277718499,1,1,1,1963,,,,,3,,2,,,,20,,,,
