State,Party,Democratic,Republican,Other,Politician,Lawyer,OtherOccupation,SenatorName,No of opponents,Votes,% Votes,Wiki?,Google?,Newapi?,DOB,Education1,Education2,Occupation1,Occupation2, #Orgs,OrgsOfInfluence?,#Events,EventsOfImportance?,WikiCareerSuccessScore,WikiGeneric,#Articles,ArticleInfluenceScore,#PostiveArticles,#NegativeArticles,#NeutralArticles
Kentucky,Republican,0,1,0,0,0,0,James Gould,10,16611,0.027267892,1,1,1,,,,,,3,,3,,,,20,,,,
Kentucky,Republican,0,1,0,0,0,1,Stephen Slaughter,10,13728,0.022535285,1,0,1,1697,,,,,0,,0,,,,20,,,,
Kentucky,Democratic,1,0,0,0,0,1,Jim Gray,10,240613,0.394979792,0,1,1,,,,,,3,,3,,,,20,,,,
Kentucky,Democratic,1,0,0,0,0,1,Sellus Wilder,10,52728,0.086555982,0,0,0,,,,,,0,,0,,,,0,,,,
Kentucky,Democratic,1,0,0,0,0,1,Ron Leach,10,39026,0.064063377,0,1,1,,,,,,0,,2,,,,15,,,,
Kentucky,Democratic,1,0,0,0,0,1,Tom Recktenwald,10,21910,0.035966499,0,0,0,,,,,,0,,0,,,,0,,,,
Kentucky,Democratic,1,0,0,0,0,1,Grant Short,10,21558,0.035388671,0,1,1,,,,,,0,,3,,,,20,,,,
Kentucky,Democratic,1,0,0,0,0,1,Jeff Kender,10,20239,0.033223458,0,0,1,,,,,,0,,0,,,,2,,,,
Kentucky,Democratic,1,0,0,0,0,1,Rory Houlihan,10,13585,0.022300543,0,0,0,,,,,,0,,0,,,,0,,,,
Louisiana,Republican,0,1,0,0,0,1,John Kennedy,2,536191,0.606546102,0,1,1,,,,,,2,,3,,,,20,,,,
Louisiana,Democratic,1,0,0,1,0,0,Foster Campbell,2,347816,0.393453898,1,1,1,1947,,,,,3,,3,,,,20,,,,
Maryland,Democratic,1,0,0,1,1,0,Chris Van Hollen,25,470320,0.372053286,1,1,1,1959,,,,,2,,2,,,,20,,,,
Maryland,Democratic,1,0,0,1,1,0,Donna Edwards,25,343620,0.27182546,1,1,1,1958,,,,,3,,2,,,,20,,,,
Maryland,Democratic,1,0,0,0,0,1,Freddie Dickson,25,14856,0.011752049,0,1,0,,,,,,0,,3,,,,0,,,,
Maryland,Democratic,1,0,0,0,0,1,Theresa Scaldaferri,25,13178,0.010424643,0,0,0,,,,,,0,,0,,,,0,,,,
Maryland,Democratic,1,0,0,0,0,1,Violet Staley,25,10244,0.008103661,0,0,1,,,,,,0,,0,,,,1,,,,
Maryland,Democratic,1,0,0,0,0,1,Lih Young,25,8561,0.0067723,0,0,1,,,,,,0,,0,,,,1,,,,
Maryland,Democratic,1,0,0,0,0,0,Charles Smith,25,7912,0.006258899,1,1,1,,,,,,2,,1,,,,20,,,,
Maryland,Democratic,1,0,0,0,0,1,Ralph Jaffe,25,7161,0.00566481,0,0,1,,,,,,0,,0,,,,8,,,,
Maryland,Democratic,1,0,0,0,0,1,Blaine Taylor,25,5932,0.004692592,1,1,1,1958,,,,,1,,3,,,,20,,,,
Maryland,Democratic,1,0,0,0,0,1,Ed Tinus,25,2560,0.002025124,0,0,0,,,,,,0,,0,,,,0,,,,
Maryland,Republican,0,1,0,1,0,0,Kathy Szeliga,25,135337,0.107060247,1,1,0,1961,,,,,0,,3,,,,0,,,,
Maryland,Republican,0,1,0,0,0,1,Chris Chaffee,25,52066,0.041187545,0,1,1,,,,,,0,,1,,,,5,,,,
Maryland,Republican,0,1,0,0,0,1,Chrys Kefalas,25,36340,0.028747271,0,0,0,,,,,,0,,0,,,,0,,,,
Maryland,Republican,0,1,0,0,0,0,Richard Douglas,25,29007,0.022946397,1,1,1,,,,,,3,,3,,,,20,,,,
Maryland,Republican,0,1,0,0,0,1,Dave Wallace,25,23226,0.018373256,0,1,1,,,,,,3,,3,,,,20,,,,
Maryland,Republican,0,1,0,0,0,1,Sean Connor,25,21727,0.017187451,1,1,1,1967,,,,,3,,3,,,,20,,,,
Maryland,Republican,0,1,0,0,0,0,Lynn Richardson,25,20792,0.016447806,1,1,1,,,,,,1,,0,,,,20,,,,
Maryland,Republican,0,1,0,0,0,1,John Graziani,25,16722,0.013228175,0,1,1,,,,,,1,,0,,,,6,,,,
Maryland,Republican,0,1,0,0,0,0,Greg Holmes,25,16148,0.012774104,1,1,1,,,,,,3,,2,,,,20,,,,
Maryland,Republican,0,1,0,0,0,1,Mark McNicholas,25,9988,0.007901149,0,0,1,,,,,,0,,0,,,,6,,,,
Maryland,Republican,0,1,0,0,0,1,Joe Hooe,25,8282,0.006551593,0,0,0,,,,,,0,,0,,,,0,,,,
Maryland,Republican,0,1,0,0,0,1,Anthony Seda,25,3873,0.003063791,0,0,1,,,,,,0,,0,,,,7,,,,
Maryland,Republican,0,1,0,0,0,1,Richard Shawver,25,3155,0.002495807,0,0,0,,,,,,0,,0,,,,0,,,,
Maryland,Republican,0,1,0,0,0,1,Garry Yarrington,25,2988,0.0023637,0,0,0,,,,,,0,,0,,,,0,,,,
Maryland,Other,0,0,1,0,0,1,Margaret Flowers,25,125,9.89E-05,0,0,1,,,,,,0,,0,,,,20,,,,
Missouri,Republican,0,1,0,1,0,0,Roy Blunt,11,481444,0.487458754,1,1,1,1950,,,,,2,,0,,,,20,,,,
Missouri,Republican,0,1,0,0,0,1,Kristi Nichols,11,134025,0.135699395,0,0,1,,,,,,0,,0,,,,1,,,,
Missouri,Republican,0,1,0,0,0,1,Ryan Luethy,11,29328,0.029694399,0,0,0,,,,,,0,,0,,,,0,,,,
Missouri,Republican,0,1,0,0,0,1,Bernie Mowinski,11,18789,0.019023734,0,0,0,,,,,,0,,0,,,,0,,,,
Missouri,Democratic,1,0,0,1,1,0,Jason Kander,11,223492,0.22628412,1,1,1,1981,,,,,3,,2,,,,20,,,,
Missouri,Democratic,1,0,0,0,0,1,Cori Bush,11,42453,0.042983372,0,0,1,,,,,,0,,0,,,,7,,,,
Missouri,Democratic,1,0,0,0,0,1,Chief Wana Dubie,11,30432,0.030812192,0,0,0,,,,,,0,,0,,,,0,,,,
Missouri,Democratic,1,0,0,0,0,1,Robert Mack,11,23509,0.023802702,0,1,1,,,,,,2,,1,,,,20,,,,
Missouri,Libertarian,0,0,1,0,0,1,Jonathan Dine,11,2002,0.002027011,0,1,1,,,,,,0,,1,,,,20,,,,
Missouri,Libertarian,0,0,1,0,0,1,Herschel Young,11,1642,0.001662514,0,1,1,,,,,,0,,1,,,,20,,,,
Missouri,Other,0,0,1,0,0,1,Fred Ryman,11,545,0.000551809,0,1,1,,,,,,1,,0,,,,1,,,,
Nevada,Democratic,1,0,0,0,1,0,Catherine Cortez Masto ,13,81944,0.39480049,1,1,1,1964,,,,,3,,3,,,,20,,,,
Nevada,Democratic,1,0,0,0,0,1,Allen Rheinhart ,13,5645,0.027197217,0,0,0,,,,,,0,,0,,,,0,,,,
Nevada,Democratic,1,0,0,0,0,1,Liddo Susan O'Briant ,13,4834,0.023289876,0,0,0,,,,,,0,,0,,,,0,,,,
Nevada,Democratic,1,0,0,0,0,1,Bobby Mahendra ,13,3760,0.018115418,0,0,1,,,,,,0,,0,,,,8,,,,
Nevada,Republican,0,1,0,1,0,0,Joe Heck,13,74517,0.35901772,1,1,1,1961,,,,,2,,3,,,,20,,,,
Nevada,Republican,0,1,0,1,0,0,Sharron Angle,13,26142,0.125950337,1,1,1,1949,,,,,3,,3,,,,2,,,,
Nevada,Republican,0,1,0,0,0,1,Thomas Heck,13,3570,0.017200012,0,1,1,,,,,,1,,2,,,,20,,,,
Nevada,Republican,0,1,0,0,0,1,Eddie Hamilton,13,2507,0.012078552,0,1,1,,,,,,3,,2,,,,20,,,,
Nevada,Republican,0,1,0,0,0,1,D'Nese Davis,13,1937,0.009332331,0,0,0,,,,,,0,,0,,,,0,,,,
Nevada,Republican,0,1,0,0,0,1,Bill Tarbell,13,1179,0.00568034,0,0,1,,,,,,0,,0,,,,2,,,,
Nevada,Republican,0,1,0,0,0,0,Robert Leeds,13,662,0.00318947,1,1,1,,,,,,3,,0,,,,20,,,,
Nevada,Republican,0,1,0,0,0,1,Juston Preble,13,582,0.002804035,0,0,0,,,,,,0,,0,,,,0,,,,
Nevada,Republican,0,1,0,0,0,1,Carlo Poliak,13,279,0.001344203,0,0,0,,,,,,0,,0,,,,0,,,,
New Hampshire,Republican,0,1,0,1,1,0,Kelly Ayotte,6,86558,0.786726412,1,1,1,1968,,,,,2,,3,,,,17,,,,
New Hampshire,Republican,0,1,0,1,0,0,Jim Rubens,6,19139,0.173954537,1,1,1,,,,,,0,,3,,,,6,,,,
New Hampshire,Republican,0,1,0,0,0,1,Tom Alciere,6,1586,0.014415168,0,1,0,,,,,,0,,1,,,,0,,,,
New Hampshire,Republican,0,1,0,0,0,1,Gerald Beloin,6,1252,0.011379439,0,0,0,,,,,,0,,0,,,,0,,,,
New Hampshire,Republican,0,1,0,0,0,1,Stanley Emanuel,6,1187,0.010788653,0,1,1,,,,,,0,,1,,,,19,,,,
New Hampshire,Democratic,1,0,0,1,1,0,Maggie Hassan,6,301,0.002735792,1,1,1,1958,,,,,3,,3,,,,20,,,,
New York,Other,0,0,1,1,0,0,Chuck Schumer,4,5221945,0.716039887,1,1,1,1950,,,,,2,,2,,,,20,,,,
New York,Other,0,0,1,0,1,0,Wendy Long,4,2009335,0.275522628,1,1,1,1960,,,,,0,,2,,,,20,,,,
New York,Other,0,0,1,0,0,1,Robin Laverne Wilson,4,13413,0.001839208,0,0,1,,,,,,0,,0,,,,1,,,,
New York,Libertarian,0,0,1,0,0,0,Alex Merced,4,48120,0.006598277,1,1,1,,,,,,0,,3,,,,20,,,,
North Carolina,Republican,0,1,0,1,0,0,Richard Burr,8,622074,0.311198201,1,1,1,1955,,,,,3,,3,,,,20,,,,
North Carolina,Republican,0,1,0,1,0,0,Greg Brannon,8,255030,0.127581087,1,1,1,1960,,,,,0,,3,,,,4,,,,
North Carolina,Republican,0,1,0,0,0,0,Paul Wright,8,85944,0.042994271,1,1,1,,,,,,2,,3,,,,20,,,,
North Carolina,Republican,0,1,0,0,0,1,Larry Holmquist,8,50010,0.025017959,0,0,0,,,,,,0,,0,,,,0,,,,
North Carolina,Democratic,1,0,0,0,0,0,Deborah Ross,8,614414,0.307366216,1,1,1,,,,,,2,,1,,,,20,,,,
North Carolina,Democratic,1,0,0,0,0,1,Chris Rey,8,162869,0.081476705,0,1,1,,,,,,1,,3,,,,20,,,,
North Carolina,Democratic,1,0,0,0,0,1,Kevin Griffin,8,115618,0.057838961,1,1,1,1968,,,,,1,,0,,,,20,,,,
North Carolina,Democratic,1,0,0,0,0,1,Ernest Reeves,8,93005,0.046526601,0,0,1,,,,,,0,,0,,,,4,,,,
North Dakota,Republican,0,1,0,1,0,0,John Hoeven,3,103677,0.849748789,1,1,1,1957,,,,,3,,3,,,,20,,,,
North Dakota,Democratic,1,0,0,1,0,0,Eliot Glassheim,3,17243,0.14132564,1,1,0,1938,,,,,0,,3,,,,0,,,,
North Dakota,Libertarian,0,0,1,0,0,1,Robert Marquette,3,1089,0.008925571,0,1,1,,,,,,0,,2,,,,20,,,,
Ohio,Republican,0,1,0,1,1,0,Rob Portman,6,1336686,0.482222134,1,1,1,1955,,,,,3,,2,,,,20,,,,
Ohio,Republican,0,1,0,0,0,1,Don Elijah Eckhart,6,290268,0.10471693,0,1,0,,,,,,0,,2,,,,0,,,,
Ohio,Democratic,1,0,0,1,0,0,Ted Strickland,6,742676,0.267927401,1,1,1,1941,,,,,3,,3,,,,11,,,,
Ohio,Democratic,1,0,0,1,0,0,P.G. Sittenfeld,6,254232,0.091716602,1,1,1,1984,,,,,0,,3,,,,20,,,,
Ohio,Democratic,1,0,0,0,0,1,Kelli Prather,6,144945,0.052290282,0,0,1,,,,,,0,,0,,,,1,,,,
Ohio,Other,0,0,1,0,0,1,Joe DeMare,6,3123,0.001126652,0,0,1,,,,,,0,,0,,,,1,,,,
Oklahoma,Libertarian,0,0,1,0,0,0,Robert Murphy,2,1537,0.588888889,1,1,1,,,,,,2,,1,,,,20,,,,
Oklahoma,Libertarian,0,0,1,0,0,1,Dax Ewbank,2,1073,0.411111111,0,0,0,,,,,,0,,0,,,,0,,,,
Oregon,Democratic,1,0,0,1,0,0,Ron Wyden,9,501903,0.536628785,1,1,1,1949,,,,,3,,3,,,,20,,,,
Oregon,Democratic,1,0,0,0,0,1,Kevin Stine,9,78287,0.08370354,0,0,1,,,,,,0,,0,,,,9,,,,
Oregon,Democratic,1,0,0,0,0,1,Paul Weaver,9,20346,0.021753704,0,1,1,,,,,,2,,3,,,,20,,,,
Oregon,Republican,0,1,0,1,0,0,Mark Callahan,9,123473,0.13201588,1,1,1,1977,,,,,0,,3,,,,20,,,,
Oregon,Republican,0,1,0,0,0,1,Sam Carpenter,9,104494,0.111723756,1,1,1,1987,,,,,1,,1,,,,20,,,,
Oregon,Republican,0,1,0,0,0,1,Faye Stewart,9,57399,0.061370336,0,0,1,,,,,,0,,0,,,,3,,,,
Oregon,Republican,0,1,0,0,0,1,Dan Laschober,9,34157,0.036520263,0,0,0,,,,,,0,,0,,,,0,,,,
Oregon,Independent,0,0,1,0,0,1,Steven Reynolds,9,10497,0.011223269,0,1,1,,,,,,1,,2,,,,20,,,,
Oregon,Independent,0,0,1,0,0,1,Marvin Sandnes,9,4733,0.005060468,0,0,0,,,,,,0,,0,,,,0,,,,
Pennsylvania,Republican,0,1,0,1,0,0,Pat Toomey,5,1342941,0.460090453,1,1,1,1961,,,,,3,,3,,,,20,,,,
Pennsylvania,Democratic,1,0,0,1,0,0,Katie McGinty,5,669774,0.229464007,1,1,1,1963,,,,,1,,2,,,,2,,,,
Pennsylvania,Democratic,1,0,0,1,0,0,Joe Sestak,5,513221,0.175829081,1,1,0,1951,,,,,3,,3,,,,0,,,,
Pennsylvania,Democratic,1,0,0,0,0,0,John Fetterman,5,307090,0.105208775,1,1,1,,,,,,2,,3,,,,2,,,,
Pennsylvania,Democratic,1,0,0,0,0,1,Joseph Vodvarka,5,85837,0.029407684,0,1,0,,,,,,0,,1,,,,0,,,,
Utah,Democratic,1,0,0,0,0,1,Misty K. Snow,2,28928,0.593979713,0,1,0,,,,,,0,,3,,,,0,,,,
Utah,Democratic,1,0,0,0,0,1,Jonathan Swinton,2,19774,0.406020287,0,1,1,,,,,,0,,1,,,,6,,,,
Vermont,Democratic,1,0,0,1,1,0,Patrick Leahy,2,192243,0.961994215,1,1,1,1940,,,,,3,,3,,,,20,,,,
Vermont,Democratic,1,0,0,0,0,0,Cris Ericson,2,7595,0.038005785,1,1,1,,,,,,0,,3,,,,1,,,,
Washington,Democratic,1,0,0,1,0,0,Patty Murray,17,745421,0.538211663,1,1,1,1950,,,,,3,,3,,,,20,,,,
Washington,Republican,0,1,0,0,0,0,Chris Vance,17,381004,0.275093935,1,1,1,,,,,,1,,2,,,,20,,,,
Washington,Republican,0,1,0,0,0,1,Eric John Markus,17,57825,0.041751023,0,0,1,,,,,,0,,0,,,,20,,,,
Washington,Democratic,1,0,0,0,0,1,Phil Cornell,17,46460,0.033545223,0,0,1,,,,,,0,,0,,,,20,,,,
Washington,Republican,0,1,0,0,0,1,Scott Nazarino,17,41542,0.02999431,0,0,0,,,,,,0,,0,,,,0,,,,
Washington,Libertarian,0,0,1,0,0,1,Mike Luke,17,20988,0.015153834,0,1,1,,,,,,3,,3,,,,20,,,,
Washington,Democratic,1,0,0,0,0,1,Mohammad Said,17,13362,0.009647681,0,1,1,,,,,,2,,3,,,,20,,,,
Washington,Independent,0,0,1,0,0,1,Donna Rae,17,11472,0.008283056,0,1,1,,,,,,1,,2,,,,20,,,,
Washington,Independent,0,0,1,0,0,1,Ted Cummings,17,11028,0.007962478,0,0,1,,,,,,0,,0,,,,20,,,,
Washington,Independent,0,0,1,0,0,1,Sam Wright,17,10751,0.007762477,1,1,1,1848,,,,,3,,2,,,,20,,,,
Washington,Republican,0,1,0,0,0,0,Uncle Mover,17,8569,0.006187021,1,1,1,1953,,,,,0,,1,,,,5,,,,
Washington,Independent,0,0,1,0,0,1,Jeremy Teuton,17,7991,0.005769692,0,0,0,,,,,,0,,0,,,,0,,,,
Washington,Democratic,1,0,0,0,0,1,Thor Amundson,17,7906,0.00570832,0,0,0,,,,,,0,,0,,,,0,,,,
Washington,Independent,0,0,1,0,0,1,Chuck Jackson,17,6318,0.004561746,1,1,1,1937,,,,,3,,3,,,,20,,,,
Washington,Independent,0,0,1,0,0,1,Pano Churchill,17,5150,0.003718422,0,0,1,,,,,,0,,0,,,,11,,,,
Washington,Independent,0,0,1,0,0,1,Zach Haller,17,5092,0.003676545,0,0,1,,,,,,0,,0,,,,1,,,,
Washington,Independent,0,0,1,0,0,1,Alex Tsimerman,17,4117,0.002972572,0,0,0,,,,,,0,,0,,,,0,,,,
Wisconsin,Democratic,1,0,0,1,1,0,Russ Feingold,2,303282,0.9013722,1,1,1,1953,,,,,3,,1,,,,20,,,,
Wisconsin,Democratic,1,0,0,0,0,1,Scott Harbach,2,33185,0.0986278,0,0,0,,,,,,0,,0,,,,0,,,,